organization_id,organization_name,organization_type,contact_information,description
25,"National Oceanic and Atmospheric Administration, Department of Commerce",Government,N/A,"Data provider: National Oceanic and Atmospheric Administration, Department of Commerce"
26,City of Chicago,Government,no-reply@data.cityofchicago.org,Data provider: City of Chicago
27,Institute of Museum and Library Services,Government,mpelczar@imls.gov,Data provider: Institute of Museum and Library Services
28,State of California,Government,QMStaff@cdcr.ca.gov,Data provider: State of California
29,"U.S. Census Bureau, Department of Commerce",Government,N/A,"Data provider: U.S. Census Bureau, Department of Commerce"
30,Department of Labor,Government,yu.victor@dol.gov,Data provider: Department of Labor
31,National Aeronautics and Space Administration,Government,metadata@ciesin.columbia.edu,Data provider: National Aeronautics and Space Administration
32,National Institute of Standards and Technology,Government,justin.gorham@nist.gov,Data provider: National Institute of Standards and Technology
33,Allegheny County / City of Pittsburgh / Western PA Regional Data Center,Government,wprdc@pitt.edu,Data provider: Allegheny County / City of Pittsburgh / Western PA Regional Data Center
34,Department of the Treasury,Government,david.lean@usmint.treas.gov,Data provider: Department of the Treasury
35,State of Connecticut,Government,no-reply@data.ct.gov,Data provider: State of Connecticut
36,National Archives and Records Administration,Government,opendata@nara.gov,Data provider: National Archives and Records Administration
37,Consumer Financial Protection Bureau,Government,devops@cfpb.gov,Data provider: Consumer Financial Protection Bureau
38,State of Iowa,Government,no-reply@data.iowa.gov,Data provider: State of Iowa
39,District of Columbia,Government,gisgroup@dc.gov,Data provider: District of Columbia
40,Department of Housing and Urban Development,Government,GIShelpdesk@hud.gov,Data provider: Department of Housing and Urban Development
41,U.S. Department of Labor Bureau of Labor Statistics,Government,kohli.amrit@bls.gov,Data provider: U.S. Department of Labor Bureau of Labor Statistics
42,"Earth Data Analysis Center, University of New Mexico",Government,N/A,"Data provider: Earth Data Analysis Center, University of New Mexico"
43,"Lake County, Illinois",Government,gis@lakecountyil.gov,"Data provider: Lake County, Illinois"
44,Department of Energy,Government,megan.day@nrel.gov,Data provider: Department of Energy
45,Department of Veterans Affairs,Government,Kary.Charlebois@va.gov,Data provider: Department of Veterans Affairs
46,City of San Francisco,Government,no-reply@data.sfgov.org,Data provider: City of San Francisco
47,Federal Deposit Insurance Corporation,Government,ChiefDataOfficer@FDIC.gov,Data provider: Federal Deposit Insurance Corporation
48,Department of Commerce,Government,Elizabeth.Schaefer@trade.gov,Data provider: Department of Commerce
49,Department of Defense,Government,DISDI.Helpdesk@osd.mil,Data provider: Department of Defense
50,Federal Geographic Data Committee,Government,ngdateam@fgdc.gov,Data provider: Federal Geographic Data Committee
51,"King County, Washington",Government,no-reply@data.kingcounty.gov,"Data provider: King County, Washington"
52,City of Seattle,Government,open.data@seattle.gov,Data provider: City of Seattle
53,State of Maryland,Government,no-reply@opendata.maryland.gov,Data provider: State of Maryland
54,State of Oklahoma,Government,servicedesk@omes.ok.gov,Data provider: State of Oklahoma
55,Department of State,Government,N/A,Data provider: Department of State
56,City of New Orleans,Government,no-reply@data.nola.gov,Data provider: City of New Orleans
57,Federal Housing Finance Agency,Government,HPIQuestions@fhfa.gov,Data provider: Federal Housing Finance Agency
58,Louisville Metro Government,Government,opendata@louisvilleky.gov,Data provider: Louisville Metro Government
59,US Consumer Product Safety Commission,Government,asalomon@cpsc.gov,Data provider: US Consumer Product Safety Commission
60,"City of Ferndale, Michigan",Government,AskD3@datadrivendetroit.org,"Data provider: City of Ferndale, Michigan"
61,Government Publishing Office (GPO),Government,skharfen@gpo.gov,Data provider: Government Publishing Office (GPO)
62,"Networking and Information Technology Research and Development, Executive Office of the President",Government,nco@nitrd.gov,"Data provider: Networking and Information Technology Research and Development, Executive Office of the President"
63,National Credit Union Administration NCUA,Government,eimail@ncua.gov,Data provider: National Credit Union Administration NCUA
64,City of Baton Rouge,Government,no-reply@data.brla.gov,Data provider: City of Baton Rouge
65,"Army Corps of Engineers, Department of the Army, Department of Defense",Government,Rebecca.Ragon@usace.army.mil,"Data provider: Army Corps of Engineers, Department of the Army, Department of Defense"
66,Cook County of Illinois,Government,no-reply@datacatalog.cookcountyil.gov,Data provider: Cook County of Illinois
67,State of Oregon,Government,no-reply@data.oregon.gov,Data provider: State of Oregon
68,Federal Communications Commission,Government,no-reply@opendata.fcc.gov,Data provider: Federal Communications Commission
69,City of Hartford,Government,bflodine@hartford.gov,Data provider: City of Hartford
70,City of Bloomington,Government,no-reply@data.bloomington.in.gov,Data provider: City of Bloomington
71,Office of Personnel Management,Government,datadrivenworkforce@opm.gov,Data provider: Office of Personnel Management
72,City of Providence,Government,no-reply@data.providenceri.gov,Data provider: City of Providence
73,Office of Management and Budget,Government,patrick.evans@omb.eop.gov,Data provider: Office of Management and Budget
74,National Science Foundation,Government,opendata@nsf.gov,Data provider: National Science Foundation
75,"Town of Chapel Hill, North Carolina",Government,cbarnard@townofchapelhill.org,"Data provider: Town of Chapel Hill, North Carolina"
76,Library of Congress,Government,mdsconnect@loc.gov,Data provider: Library of Congress
77,Federal Trade Commission,Government,opengov@ftc.gov,Data provider: Federal Trade Commission
78,State of Arkansas,Government,N/A,Data provider: State of Arkansas
79,State of Missouri,Government,no-reply@data.mo.gov,Data provider: State of Missouri
80,Nuclear Regulatory Commission,Government,Adam.Glazer@nrc.gov,Data provider: Nuclear Regulatory Commission
81,AmeriCorps,Government,AmeriCorpsCEV@americorps.gov,Data provider: AmeriCorps
82,"Town of Cary, North Carolina",Government,N/A,"Data provider: Town of Cary, North Carolina"
83,"Arlington County, VA",Government,opendata@arlingtonva.us,"Data provider: Arlington County, VA"
84,City of Somerville,Government,data@somervillema.gov,Data provider: City of Somerville
85,National Endowment for the Arts,Government,research@arts.gov,Data provider: National Endowment for the Arts
86,OpenTopography,Government,N/A,Data provider: OpenTopography
87,City of Sioux Falls,Government,lsohl@siouxfalls.org,Data provider: City of Sioux Falls
88,International Boundary & Water Commission,Government,N/A,Data provider: International Boundary & Water Commission
