organization_id,organization_name,description
271,CDDIS,Data provider: CDDIS
272,BikePGH,Data provider: BikePGH
273,High Energy Astrophysics Science Archive Research Center,Data provider: High Energy Astrophysics Science Archive Research Center
274,Drug Enforcement Administration,Data provider: Drug Enforcement Administration
275,data.somervillema.gov,Data provider: data.somervillema.gov
276,Oak Ridge National Laboratory,Data provider: Oak Ridge National Laboratory
277,Federal Transit Administration,Data provider: Federal Transit Administration
278,Prestige Institute of Engineering Management and Research (PIEMR),Data provider: Prestige Institute of Engineering Management and Research (PIEMR)
279,Federal Railroad Administration (FRA),Data provider: Federal Railroad Administration (FRA)
280,US Environmental Protection Agency,Data provider: US Environmental Protection Agency
281,Cary,Data provider: Cary
282,data.transportation.gov,Data provider: data.transportation.gov
283,"National Institutes of Health (NIH), Department of Health & Human Services","Data provider: National Institutes of Health (NIH), Department of Health & Human Services"
284,Executive Office for Immigration Review,Data provider: Executive Office for Immigration Review
285,National Renewable Energy Lab - NREL,Data provider: National Renewable Energy Lab - NREL
286,JPL,Data provider: JPL
287,Office of Finance and Operations (OFO),Data provider: Office of Finance and Operations (OFO)
288,NSIDC;NOAA,Data provider: NSIDC;NOAA
289,Department of the Air Force,Data provider: Department of the Air Force
290,Veterans’ Employment and Training Service,Data provider: Veterans’ Employment and Training Service
291,Advisory Committee on Student Financial Assistance (ACSFA),Data provider: Advisory Committee on Student Financial Assistance (ACSFA)
292,Federal Aviation Administration (FAA),Data provider: Federal Aviation Administration (FAA)
293,Women’s Bureau,Data provider: Women’s Bureau
294,U.S. Army Corps of Engineers,Data provider: U.S. Army Corps of Engineers
295,Arlington County,Data provider: Arlington County
296,PSPD,Data provider: PSPD
297,FEMA/Resilience/National Preparedness Directorate,Data provider: FEMA/Resilience/National Preparedness Directorate
298,Caltrans,Data provider: Caltrans
299,Defense Logistics Agency,Data provider: Defense Logistics Agency
300,SDO HMI-AIA JSOC at Stanford,Data provider: SDO HMI-AIA JSOC at Stanford
301,California Department of General Services,Data provider: California Department of General Services
302,David Sherman,Data provider: David Sherman
303,Library of Congress,Data provider: Library of Congress
304,Office of Industry and Competitiveness Analysis,Data provider: Office of Industry and Competitiveness Analysis
305,National Laboratory of the Rockies (NLR),Data provider: National Laboratory of the Rockies (NLR)
306,Office of Labor-Management Standards,Data provider: Office of Labor-Management Standards
307,"Bureau of Alcohol, Tobacco, Firearms and Explosives","Data provider: Bureau of Alcohol, Tobacco, Firearms and Explosives"
308,Office of Economics,Data provider: Office of Economics
309,DC Office of the Chief Technology Officer (OCTO),Data provider: DC Office of the Chief Technology Officer (OCTO)
310,U.S. EPA Office of Chemical Safety and Pollution Prevention (OCSPP) - Office of Pollution Prevention and Toxics (OPPT),Data provider: U.S. EPA Office of Chemical Safety and Pollution Prevention (OCSPP) - Office of Pollution Prevention and Toxics (OPPT)
311,U.S. EPA Office of Chemical Safety and Pollution Prevention (OCSPP) - Office of Pesticide Programs (OPP),Data provider: U.S. EPA Office of Chemical Safety and Pollution Prevention (OCSPP) - Office of Pesticide Programs (OPP)
312,Office of Enrollment and Discipline (OED),Data provider: Office of Enrollment and Discipline (OED)
313,U.S. EPA Office of Environmental Information (OEI) - Office of Information Collection (OIC),Data provider: U.S. EPA Office of Environmental Information (OEI) - Office of Information Collection (OIC)
314,City of Sioux Falls GIS,Data provider: City of Sioux Falls GIS
315,OpenDataPhilly,Data provider: OpenDataPhilly
316,California Department of Health Care Services,Data provider: California Department of Health Care Services
317,NASA Space Physics Data Facility (SPDF) Data Services,Data provider: NASA Space Physics Data Facility (SPDF) Data Services
318,Department of For-Hire Vehicles,Data provider: Department of For-Hire Vehicles
319,"U.S. Department of Agriculture, Natural Resources Conservation Service","Data provider: U.S. Department of Agriculture, Natural Resources Conservation Service"
320,Water Power Technology Office,Data provider: Water Power Technology Office
321,Bureau of Transportation Statistics (BTS),Data provider: Bureau of Transportation Statistics (BTS)
322,"TechniGraphics, Inc.","Data provider: TechniGraphics, Inc."
323,District Department of Transportation,Data provider: District Department of Transportation
324,OCDO,Data provider: OCDO
325,California Health and Human Services Agency,Data provider: California Health and Human Services Agency
326,"Health Resources and Services Administration, Department of Health & Human Services","Data provider: Health Resources and Services Administration, Department of Health & Human Services"
